Phase,ID,Prereq,Scenario,A,A.Result,A.Community,A.Tradition,A.Exploration,A.Objectivity,A.ColonistCount,A.TechLevel,A.Morale,B,B.Result,B.Community,B.Tradition,B.Exploration,B.Objectivity,B.ColonistCount,B.TechLevel,B.Morale
0,Copyright,,{name:firstname} {surname:lastname} has invented a new {device:object:life support system|water filtration system} but plans to save it for their heirs to use when they reach the planet.,Defend {surname}’s copyright.,"{surname}'s work is protected, but to the detriment of the community as a whole.",-1,0,0,1,0,-8,-1,Steal {surname}’s idea to improve life on the colony ship.,{surname}'s work is now the property of the colony.,1,0,0,-1,0,1,-1
0,Injury,,{name:firstname} {surname:lastname} was injured on a spacewalk and a ion storm is approaching.,Send rescue workers on a risky rescue mission.,"The rescue workers retrieved {surname}, but several of them were lost to the storm.",-1,0,0,-1,-5,0,2,Let {surname} perish alone.,{surname} died alone in the vacuum of space.,1,0,0,1,-1,0,-1
0,Caste,,The staffing levels of the {job:job} division are {degree:from:critically:severely:dangerously} low.,Force children into career paths in {job}.,"Children now fulfill roles as needed by the collective, without regard to their desires.",1,0,0,-1,0,3,-1,Let children decide where they want to work.,The children can choose their own paths. Hopefully there will be enough people to do {job}.,-1,0,0,1,0,-1,1
0,CRISPR,,{name:firstname} {surname:lastname} in the prenatal lab has developed a new in vitro gene manipulation technique.,Allow {surname} to begin in vitro gene manipulation to prevent genetic mutations.,{surname} begins in vitro gene manipulation.,1,-1,1,-1,1,3,1,You avoid the slippery slope of designer babies.,"Some colonists with congenital defects are unable to work; however, each family remains free to maintain their own genetics.",-1,1,-1,1,-1,-1,1
0,Bodyharvest,,The resource reclamation division has proposed harvesting critical biomaterial from dead colonists.,Harvest biomaterial from the dead.,The biomass of the dead is now property of the collective.,-1,-1,0,1,0,3,-1,Let them have traditional funeral rights.,The wishes of the deceased's families will be respected.,1,1,0,-1,-1,-1,1
0,Strike,,"{name:firstname} {surname:lastname}, a popular {job:job}, is threatening to strike over poor work conditions.",Arrest {surname} quietly to supress the negative opinions.,A security team nabs {surname} in between shifts. Other {job}s notice and the work continues without further issue.,1,-1,0,0,0,0,-2,Attempt to reach a compromise with {surname} publicly,"{surname} willingly meets with you. In the compromise, you agree to decrease the maintenance interval of certain ship systems.",-1,1,0,0,0,-3,0
0,Murderer1,,"Three bodies are found murdered. ""{nickname:from:Dirty:Two-tooth:Hardknock:Limpin'} {name:firstname}"", an unpopular {job:job}, is widely held to be the murderer, though no proof exists.",Condemn the likely culprit to life imprisonment.,"You lock up the hated {job}. Although no evidence of guilt is ever found, the murders cease and you hear no more complaints.",0,0,0,-1,-4,0,2,Let the {job} remain free until sufficient evidence can be found to prosecute.,"Although the murders seem to cease, no killer is ever successfully identified.",0,0,0,1,-3,0,-1
0,Signal,,Sensors show an interesting faint radio signal coming from far off the planned course.,Slow down and investigate the signal,"As the ship decelerates and release two probes, the signal suddenly goes silent.",0,0,1,0,0,-2,0,Mark the location and remain on course,You direct the science department to make a note of the signal's likeliest source while the ship speeds away.,0,0,-1,0,0,0,-2
0,Menu,,The farming division wants to stop growing meat in order to focus on higher-yield grains.,Keep meat on the menu.,The farmers begrudgingly remain as ranchers.,1,1,0,-1,0,-1,4,Switch to a more efficient no-meat menu.,"The farm yield increases significantly, though morale drops a bit.",-1,-1,0,1,1,0,-1
0,Pets,,A failed {device:object:coolant pump|acoustical sensor} is found to have been broken by a runaway pet.,Ban all pets to minimize the risk to the ship systems.,"Pets are rounded up, reducing the burden for the maintainers.",0,-1,0,1,0,2,-10,Allow colonists to keep their pets,"Pets remain with their family, though there is occasional damage to ship systems.",0,1,0,-1,0,-3,3
